Violation_ID,Violation_Date,Violation_Time,City,Area,Vehicle_Type,Violation_Type,Fine_Amount,Payment_Status,Payment_Date,Camera_Type,Repeat_Offender,Challan_Source,Weather_Condition
CHL2024_000046,2024-05-01,20:24,Nagpur,Mankapur,Truck,Driving on Wrong Side,1928,Unpaid,,CCTV Camera,No,On-ground Police,Clear
CHL2024_000047,2024-04-07,23:53,Nagpur,Mahal,Car,Driving on Wrong Side,1306,Paid,2024-04-10,Speed Camera,Yes,On-ground Police,Foggy
CHL2024_000048,2024-01-25,23:18,Mumbai,Bandra,Car,Wrong Parking,578,Paid,2024-02-08,CCTV Camera,Yes,Automated Camera,Clear
CHL2024_000049,2024-08-10,20:47,Indore,Rajwada,Car,Wrong Parking,774,Paid,2024-08-11,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000050,2024-07-25,19:23,Hyderabad,Uppal,Car,No Seatbelt,535,Paid,2024-07-27,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000051,2024-11-03,21:17,Bengaluru,JP Nagar,Truck,No Seatbelt,904,Paid,2024-11-12,Speed Camera,No,On-ground Police,Foggy
CHL2024_000052,2024-03-22,21:38,Mumbai,Dadar,Bike,Signal Jumping,1566,Paid,2024-03-23,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000053,2024-11-20,08:41,Indore,MR10,Car,Driving on Wrong Side,1873,Unpaid,,Speed Camera,No,Automated Camera,Foggy
CHL2024_000054,2024-03-08,07:20,Surat,Adajan,Car,Signal Jumping,1261,Unpaid,,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000055,2024-11-01,20:59,Hyderabad,Hitech City,Bike,Over Speeding,2746,Unpaid,,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000056,2024-10-17,10:44,Bengaluru,Hebbal,Car,No Seatbelt,581,Paid,2024-10-22,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000057,2024-01-06,13:15,Bengaluru,Yelahanka,Car,No Seatbelt,540,Paid,2024-01-09,CCTV Camera,Yes,Automated Camera,Clear
CHL2024_000058,2024-12-07,20:06,Bengaluru,Hebbal,Truck,No Helmet,693,Paid,2024-12-21,Speed Camera,No,On-ground Police,Rainy
CHL2024_000059,2024-12-11,10:19,Surat,Katargam,Car,No Helmet,855,Paid,2024-12-24,CCTV Camera,No,On-ground Police,Clear
CHL2024_000060,2024-05-10,19:03,Bengaluru,Whitefield,Car,No Seatbelt,938,Paid,2024-05-23,Speed Camera,No,On-ground Police,Rainy
CHL2024_000061,2024-01-07,19:38,Ahmedabad,Gota,Bike,Driving on Wrong Side,1560,Paid,2024-01-11,Speed Camera,No,Automated Camera,Rainy
CHL2024_000062,2024-09-14,08:58,Indore,MR10,Car,No Helmet,540,Unpaid,,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000063,2024-12-26,21:04,Mumbai,Powai,Car,Driving on Wrong Side,1055,Paid,2024-12-31,Speed Camera,Yes,Automated Camera,Clear
CHL2024_000064,2024-01-03,07:20,Ahmedabad,Vastrapur,Bike,Over Speeding,1732,Paid,2024-01-04,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000065,2024-10-23,20:04,Surat,Vesu,Car,Signal Jumping,1399,Paid,2024-10-25,Traffic Police Handheld,No,On-ground Police,Foggy
CHL2024_000066,2024-09-11,09:24,Mumbai,Kurla,Car,Signal Jumping,1472,Paid,2024-09-19,Speed Camera,No,On-ground Police,Rainy
CHL2024_000067,2024-11-10,19:55,Nagpur,Mankapur,Car,Wrong Parking,949,Paid,2024-11-25,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000068,2024-06-26,08:13,Surat,Udhna,Car,No Helmet,955,Paid,2024-07-08,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000069,2024-02-05,13:30,Hyderabad,Secunderabad,Bike,No Seatbelt,927,Paid,2024-02-07,CCTV Camera,No,On-ground Police,Clear
CHL2024_000070,2024-08-16,07:14,Delhi,Dwarka,Bike,Driving on Wrong Side,1326,Paid,2024-08-16,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000071,2024-02-25,19:46,Indore,Palasia,Car,No Helmet,747,Paid,2024-02-26,Speed Camera,Yes,Automated Camera,Rainy
CHL2024_000072,2024-03-27,18:10,Pune,Aundh,Car,Driving on Wrong Side,1614,Paid,2024-04-10,Traffic Police Handheld,No,Automated Camera,Clear
CHL2024_000073,2024-07-13,18:16,Surat,Nanpura,Car,Over Speeding,1859,Paid,2024-07-26,Speed Camera,No,Automated Camera,Rainy
CHL2024_000074,2024-10-08,18:44,Delhi,Saket,Truck,Wrong Parking,1143,Paid,2024-10-23,Speed Camera,Yes,Automated Camera,Rainy
CHL2024_000075,2024-09-29,08:28,Mumbai,Goregaon,Bike,Signal Jumping,1448,Unpaid,,Speed Camera,No,Automated Camera,Foggy
CHL2024_000076,2024-05-13,08:10,Mumbai,Dadar,Auto,Over Speeding,2179,Paid,2024-05-24,CCTV Camera,No,Automated Camera,Clear
CHL2024_000077,2024-10-27,11:55,Indore,Rajwada,Auto,No Seatbelt,915,Unpaid,,Speed Camera,No,On-ground Police,Rainy
CHL2024_000078,2024-11-19,09:11,Nagpur,Mankapur,Bike,Driving on Wrong Side,1685,Paid,2024-12-02,Speed Camera,No,On-ground Police,Clear
CHL2024_000079,2024-12-18,18:10,Pune,Hinjewadi,Bike,Driving on Wrong Side,2000,Paid,2025-01-01,Traffic Police Handheld,No,Automated Camera,Clear
CHL2024_000080,2024-07-10,20:01,Surat,Adajan,Bike,Driving on Wrong Side,1014,Unpaid,,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000081,2024-05-11,19:04,Mumbai,Goregaon,Bike,Wrong Parking,705,Paid,2024-05-19,Traffic Police Handheld,No,On-ground Police,Rainy
CHL2024_000082,2024-03-14,22:01,Nagpur,Mankapur,Car,Wrong Parking,1090,Paid,2024-03-18,Speed Camera,No,Automated Camera,Clear
CHL2024_000083,2024-04-08,18:16,Chennai,Porur,Car,Driving on Wrong Side,1318,Unpaid,,CCTV Camera,Yes,On-ground Police,Foggy
CHL2024_000084,2024-05-19,09:03,Pune,Wakad,Bike,Over Speeding,2204,Paid,2024-05-20,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000085,2024-02-06,05:13,Mumbai,Dadar,Bike,Signal Jumping,1807,Unpaid,,Speed Camera,No,On-ground Police,Rainy
CHL2024_000086,2024-11-08,18:18,Mumbai,Kurla,Car,Driving on Wrong Side,1571,Paid,2024-11-16,Traffic Police Handheld,No,Automated Camera,Clear
CHL2024_000087,2024-05-22,10:58,Indore,LIG,Bike,Signal Jumping,1241,Paid,2024-05-28,CCTV Camera,No,Automated Camera,Clear
CHL2024_000088,2024-09-01,10:09,Indore,Rau,Bike,Over Speeding,2779,Paid,2024-09-15,CCTV Camera,No,Automated Camera,Foggy
CHL2024_000089,2024-02-05,07:38,Pune,Hinjewadi,Car,Signal Jumping,1462,Paid,2024-02-08,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000090,2024-05-30,18:06,Chennai,Velachery,Car,No Seatbelt,982,Paid,2024-06-06,Traffic Police Handheld,No,On-ground Police,Clear
CHL2024_000091,2024-04-16,08:04,Ahmedabad,Gota,Bike,No Helmet,547,Paid,2024-04-21,Speed Camera,No,On-ground Police,Rainy
CHL2024_000092,2024-05-05,21:05,Surat,Nanpura,Bike,Wrong Parking,663,Paid,2024-05-05,CCTV Camera,Yes,Automated Camera,Foggy
CHL2024_000093,2024-04-03,01:36,Chennai,Adyar,Car,No Helmet,694,Paid,2024-04-13,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000094,2024-06-12,00:11,Mumbai,Borivali,Bike,Over Speeding,1623,Paid,2024-06-17,Traffic Police Handheld,No,On-ground Police,Rainy
CHL2024_000095,2024-10-01,11:45,Chennai,Anna Nagar,Bike,Over Speeding,1627,Unpaid,,Traffic Police Handheld,No,On-ground Police,Clear
CHL2024_000096,2024-07-14,21:26,Chennai,Tambaram,Bike,No Helmet,873,Paid,2024-07-16,CCTV Camera,No,Automated Camera,Foggy
CHL2024_000097,2024-04-24,18:50,Bengaluru,Whitefield,Car,No Seatbelt,826,Paid,2024-04-24,Speed Camera,Yes,Automated Camera,Clear
CHL2024_000098,2024-02-19,18:00,Chennai,T Nagar,Car,No Seatbelt,786,Paid,2024-02-21,Traffic Police Handheld,No,Automated Camera,Clear
CHL2024_000099,2024-01-29,10:04,Nagpur,Mankapur,Car,Over Speeding,2103,Paid,2024-02-07,Traffic Police Handheld,No,On-ground Police,Rainy
CHL2024_000100,2024-02-07,20:26,Mumbai,Kurla,Truck,Wrong Parking,1460,Paid,2024-02-12,Speed Camera,No,On-ground Police,Rainy
CHL2024_000101,2024-11-10,10:11,Bengaluru,JP Nagar,Bike,No Helmet,926,Paid,2024-11-13,Speed Camera,No,On-ground Police,Foggy
CHL2024_000102,2024-04-27,23:07,Indore,Palasia,Bike,Over Speeding,1974,Unpaid,,Speed Camera,No,On-ground Police,Rainy
CHL2024_000103,2024-01-10,17:59,Indore,LIG,Bike,Over Speeding,2176,Unpaid,,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000104,2024-03-27,08:08,Nagpur,Mankapur,Bike,No Helmet,929,Unpaid,,CCTV Camera,No,Automated Camera,Clear
CHL2024_000105,2024-11-15,10:17,Mumbai,Goregaon,Bike,Wrong Parking,1138,Unpaid,,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000106,2024-11-23,08:44,Pune,Kothrud,Bike,No Helmet,607,Paid,2024-11-25,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000107,2024-03-03,10:18,Hyderabad,Begumpet,Bike,Over Speeding,1804,Paid,2024-03-13,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000108,2024-01-23,20:42,Mumbai,Bandra,Car,Wrong Parking,1249,Unpaid,,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000109,2024-10-15,08:07,Chennai,Anna Nagar,Bike,Driving on Wrong Side,1353,Unpaid,,Traffic Police Handheld,Yes,On-ground Police,Clear
CHL2024_000110,2024-09-07,14:40,Nagpur,Manish Nagar,Bike,Driving on Wrong Side,1234,Paid,2024-09-16,Speed Camera,Yes,Automated Camera,Rainy
CHL2024_000111,2024-11-19,09:53,Bengaluru,Hebbal,Auto,No Seatbelt,817,Paid,2024-11-29,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000112,2024-08-10,00:47,Mumbai,Bandra,Bike,Wrong Parking,565,Unpaid,,Traffic Police Handheld,No,On-ground Police,Rainy
CHL2024_000113,2024-12-12,09:56,Ahmedabad,Satellite,Bike,Over Speeding,2589,Paid,2024-12-27,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000114,2024-08-25,21:42,Pune,Shivajinagar,Bike,Driving on Wrong Side,1060,Unpaid,,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000115,2024-05-02,13:39,Mumbai,Borivali,Truck,No Seatbelt,601,Unpaid,,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000116,2024-08-23,10:18,Delhi,Vasant Kunj,Truck,No Seatbelt,640,Paid,2024-09-01,Traffic Police Handheld,No,Automated Camera,Clear
CHL2024_000117,2024-02-16,18:35,Ahmedabad,Bopal,Bike,No Helmet,973,Unpaid,,CCTV Camera,No,Automated Camera,Foggy
CHL2024_000118,2024-03-06,17:28,Bengaluru,Indiranagar,Car,Over Speeding,2132,Unpaid,,Speed Camera,Yes,On-ground Police,Clear
CHL2024_000119,2024-05-18,14:41,Indore,Rau,Bike,No Helmet,571,Unpaid,,Traffic Police Handheld,No,On-ground Police,Rainy
CHL2024_000120,2024-12-24,00:34,Pune,Katraj,Bike,No Seatbelt,990,Paid,2024-12-25,CCTV Camera,No,On-ground Police,Clear
CHL2024_000121,2024-11-02,21:27,Chennai,Tambaram,Truck,Over Speeding,2177,Paid,2024-11-09,CCTV Camera,No,Automated Camera,Foggy
CHL2024_000122,2024-07-23,17:23,Delhi,Karol Bagh,Bike,Wrong Parking,876,Unpaid,,CCTV Camera,No,Automated Camera,Foggy
CHL2024_000123,2024-09-07,18:02,Ahmedabad,Navrangpura,Bike,Wrong Parking,1116,Paid,2024-09-20,Speed Camera,No,On-ground Police,Clear
CHL2024_000124,2024-11-23,05:56,Ahmedabad,Gota,Bus,Over Speeding,2988,Paid,2024-12-03,Speed Camera,No,Automated Camera,Clear
CHL2024_000125,2024-09-18,00:43,Pune,Aundh,Car,Driving on Wrong Side,1298,Paid,2024-09-21,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000126,2024-09-25,09:17,Pune,Baner,Bike,Over Speeding,2219,Unpaid,,CCTV Camera,No,On-ground Police,Foggy
CHL2024_000127,2024-11-13,18:48,Mumbai,Goregaon,Bus,Signal Jumping,1942,Paid,2024-11-20,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000128,2024-05-23,02:59,Delhi,Rohini,Bike,Over Speeding,2525,Paid,2024-06-06,CCTV Camera,No,Automated Camera,Foggy
CHL2024_000129,2024-05-01,08:39,Ahmedabad,Thaltej,Auto,Over Speeding,2979,Paid,2024-05-16,Speed Camera,No,Automated Camera,Foggy
CHL2024_000130,2024-06-03,09:11,Ahmedabad,Satellite,Bus,Over Speeding,2058,Paid,2024-06-15,Traffic Police Handheld,No,On-ground Police,Clear
CHL2024_000131,2024-06-04,08:16,Nagpur,Sitabuldi,Bike,Over Speeding,2558,Paid,2024-06-14,CCTV Camera,Yes,On-ground Police,Foggy
CHL2024_000132,2024-05-27,10:21,Pune,Shivajinagar,Auto,No Seatbelt,617,Paid,2024-06-02,Traffic Police Handheld,No,Automated Camera,Clear
CHL2024_000133,2024-08-29,08:47,Nagpur,Mankapur,Bus,No Seatbelt,820,Paid,2024-09-02,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000134,2024-06-17,19:35,Pune,Hadapsar,Bike,Signal Jumping,1936,Unpaid,,CCTV Camera,No,On-ground Police,Foggy
CHL2024_000135,2024-10-22,10:41,Hyderabad,Uppal,Truck,Wrong Parking,1066,Unpaid,,Speed Camera,No,Automated Camera,Clear
CHL2024_000136,2024-05-31,17:52,Indore,Rau,Bike,No Seatbelt,667,Unpaid,,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000137,2024-11-21,00:22,Pune,Hadapsar,Bike,No Helmet,617,Unpaid,,Speed Camera,No,On-ground Police,Foggy
CHL2024_000138,2024-06-23,14:34,Hyderabad,LB Nagar,Car,Driving on Wrong Side,1047,Paid,2024-06-27,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000139,2024-11-19,20:08,Mumbai,Goregaon,Bike,Wrong Parking,721,Paid,2024-11-26,Speed Camera,No,Automated Camera,Foggy
CHL2024_000140,2024-08-12,18:40,Delhi,Vasant Kunj,Auto,Over Speeding,2491,Paid,2024-08-23,CCTV Camera,No,Automated Camera,Clear
CHL2024_000141,2024-12-18,01:25,Bengaluru,BTM,Bike,Driving on Wrong Side,1400,Paid,2024-12-20,Speed Camera,No,Automated Camera,Rainy
CHL2024_000142,2024-12-25,20:05,Ahmedabad,Navrangpura,Car,Signal Jumping,1506,Paid,2024-12-29,Speed Camera,Yes,Automated Camera,Rainy
CHL2024_000143,2024-01-13,12:21,Ahmedabad,Paldi,Bike,No Seatbelt,944,Paid,2024-01-23,Traffic Police Handheld,Yes,On-ground Police,Clear
CHL2024_000144,2024-07-23,02:45,Chennai,Mylapore,Bike,Wrong Parking,1178,Unpaid,,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000145,2024-11-02,18:08,Indore,Vijay Nagar,Auto,No Seatbelt,542,Paid,2024-11-02,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000146,2024-12-24,04:39,Nagpur,Sadar,Truck,No Seatbelt,834,Unpaid,,Speed Camera,No,Automated Camera,Rainy
CHL2024_000147,2024-12-01,18:12,Bengaluru,JP Nagar,Bike,Driving on Wrong Side,1781,Paid,2024-12-09,CCTV Camera,No,On-ground Police,Foggy
CHL2024_000148,2024-10-13,10:24,Ahmedabad,Gota,Bike,Signal Jumping,1843,Unpaid,,Speed Camera,No,Automated Camera,Foggy
CHL2024_000149,2024-08-06,08:50,Nagpur,Wardha Road,Truck,Over Speeding,1910,Paid,2024-08-20,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000150,2024-06-09,09:10,Pune,Kothrud,Car,Over Speeding,2015,Paid,2024-06-16,Speed Camera,No,Automated Camera,Rainy
CHL2024_000151,2024-07-14,01:04,Mumbai,Goregaon,Bike,Over Speeding,2670,Paid,2024-07-26,CCTV Camera,Yes,Automated Camera,Foggy
CHL2024_000152,2024-08-13,20:10,Hyderabad,Madhapur,Bike,Over Speeding,1590,Paid,2024-08-17,Speed Camera,No,On-ground Police,Clear
CHL2024_000153,2024-04-09,21:11,Surat,Piplod,Car,Driving on Wrong Side,1602,Paid,2024-04-24,Traffic Police Handheld,Yes,Automated Camera,Rainy
CHL2024_000154,2024-05-06,08:53,Bengaluru,Indiranagar,Bike,Wrong Parking,678,Paid,2024-05-17,Speed Camera,No,On-ground Police,Clear
CHL2024_000155,2024-05-15,09:41,Hyderabad,Gachibowli,Truck,Over Speeding,2853,Paid,2024-05-22,CCTV Camera,Yes,Automated Camera,Foggy
CHL2024_000156,2024-11-19,09:14,Chennai,Porur,Bus,No Helmet,554,Paid,2024-11-28,Speed Camera,No,On-ground Police,Clear
CHL2024_000157,2024-02-06,01:07,Pune,Wakad,Bike,No Seatbelt,615,Paid,2024-02-21,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000158,2024-10-16,09:52,Delhi,Dwarka,Truck,Signal Jumping,1525,Unpaid,,CCTV Camera,No,On-ground Police,Clear
CHL2024_000159,2024-08-16,10:17,Hyderabad,LB Nagar,Car,No Helmet,777,Unpaid,,CCTV Camera,No,Automated Camera,Clear
CHL2024_000160,2024-04-07,15:00,Chennai,Tambaram,Bike,Wrong Parking,777,Paid,2024-04-17,CCTV Camera,Yes,Automated Camera,Foggy
CHL2024_000161,2024-12-09,09:45,Bengaluru,Electronic City,Bike,Wrong Parking,982,Unpaid,,Speed Camera,No,Automated Camera,Rainy
CHL2024_000162,2024-06-25,20:11,Bengaluru,Yelahanka,Bike,Signal Jumping,1207,Unpaid,,CCTV Camera,No,Automated Camera,Foggy
CHL2024_000163,2024-10-22,08:28,Chennai,Anna Nagar,Auto,No Helmet,552,Paid,2024-10-27,CCTV Camera,No,On-ground Police,Foggy
CHL2024_000164,2024-01-10,10:46,Mumbai,Dadar,Truck,Signal Jumping,1099,Paid,2024-01-18,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000165,2024-05-21,08:19,Mumbai,Andheri,Bike,No Seatbelt,611,Paid,2024-05-22,Speed Camera,Yes,On-ground Police,Rainy
CHL2024_000166,2024-12-05,09:12,Chennai,Velachery,Bus,Signal Jumping,1913,Paid,2024-12-07,Speed Camera,No,Automated Camera,Foggy
CHL2024_000167,2024-12-24,18:16,Bengaluru,Yelahanka,Auto,No Seatbelt,641,Unpaid,,Speed Camera,No,Automated Camera,Clear
CHL2024_000168,2024-08-26,23:17,Mumbai,Kurla,Bike,Wrong Parking,1479,Paid,2024-08-31,CCTV Camera,No,Automated Camera,Clear
CHL2024_000169,2024-09-02,19:59,Chennai,Velachery,Bike,No Helmet,692,Paid,2024-09-11,CCTV Camera,No,On-ground Police,Foggy
CHL2024_000170,2024-11-09,19:10,Pune,Kothrud,Car,Driving on Wrong Side,1227,Unpaid,,Traffic Police Handheld,No,On-ground Police,Foggy
CHL2024_000171,2024-07-13,21:46,Delhi,Janakpuri,Car,Signal Jumping,1492,Unpaid,,Speed Camera,No,On-ground Police,Clear
CHL2024_000172,2024-08-30,10:57,Indore,Bhawarkua,Car,Driving on Wrong Side,1736,Unpaid,,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000173,2024-03-14,20:20,Pune,Hadapsar,Car,No Seatbelt,673,Unpaid,,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000174,2024-10-02,16:01,Surat,Udhna,Truck,No Seatbelt,949,Unpaid,,Traffic Police Handheld,Yes,On-ground Police,Clear
CHL2024_000175,2024-03-07,09:37,Hyderabad,Uppal,Bus,No Helmet,859,Paid,2024-03-10,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000176,2024-07-20,19:43,Nagpur,Dharampeth,Car,Driving on Wrong Side,1427,Paid,2024-07-22,Speed Camera,No,Automated Camera,Clear
